,id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
0,1625,,GCF_900114055,GCF_900114055.1,1,GCA_900114055,GCA_900114055.1,46223,Thermoflavimicrobium dichotomicum,representative genome,PRJNA224116,SAMN05421852,FORR00000000.1,,latest,Contig,Major,2016-11-02,IMG-taxon 2675903228 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/055/GCF_900114055.1_IMG-taxon_2675903228_annotated_assembly,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoflavimicrobium,Thermoflavimicrobium dichotomicum,,{},{},5421852,2018-03-28T14:09:26.247Z,2021-03-04T05:18:56.030Z,
0,1626,,GCF_001587375,GCF_001587375.1,1,GCA_001587375,GCA_001587375.1,46224,Bacillus sporothermodurans,representative genome,PRJNA224116,SAMN03267288,LQYN00000000.1,,latest,Scaffold,Major,2016-03-11,ASM158737v1,University of Groningen,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/375/GCF_001587375.1_ASM158737v1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sporothermodurans,,{},{},3267288,2018-03-28T14:09:26.247Z,2021-03-04T05:18:58.100Z,
0,1627,,GCF_000155205,GCF_000155205.1,1,GCA_000155205,GCA_000155205.1,471875,Ruminococcus lactaris ATCC 29176,representative genome,PRJNA224116,SAMN00000022,ABOU00000000.2,,latest,Scaffold,Major,2008-08-28,ASM15520v1,Washington University Genome Sequencing Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/205/GCF_000155205.1_ASM15520v1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus lactaris,ATCC 29176,{},{},22,2018-03-28T14:09:26.247Z,2021-03-04T05:19:00.221Z,
0,1628,,GCF_002161865,GCF_002161865.1,1,GCA_002161865,GCA_002161865.1,46240,Paenibacillus apiarius,representative genome,PRJNA224116,SAMN06710092,NDGJ00000000.1,,latest,Contig,Major,2017-05-31,ASM216186v1,Cornell University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/161/865/GCF_002161865.1_ASM216186v1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus apiarius,,{},{},6710092,2018-03-28T14:09:26.247Z,2021-03-04T05:19:02.312Z,
0,1629,,GCF_000379865,GCF_000379865.1,1,GCA_000379865,GCA_000379865.1,1122247,Mycobacterium hassiacum DSM 44199,representative genome,PRJNA224116,SAMN02256416,ARBU00000000.1,,latest,Scaffold,Major,2013-04-23,ASM37986v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/865/GCF_000379865.1_ASM37986v1,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium hassiacum,DSM 44199,{},{},2256416,2018-03-28T14:09:26.247Z,2021-03-04T05:19:04.071Z,
0,1630,,GCF_000242595,GCF_000242595.2,2,GCA_000242595,GCA_000242595.3,889378,Spirochaeta africana DSM 8902,representative genome,PRJNA224116,SAMN02232053,,,latest,Complete Genome,Major,2012-04-02,ASM24259v3,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/595/GCF_000242595.2_ASM24259v3,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta africana,DSM 8902,{},{},2232053,2018-03-28T14:09:26.247Z,2021-03-04T05:19:05.604Z,
0,1631,,GCF_000373545,GCF_000373545.1,1,GCA_000373545,GCA_000373545.1,942938,Alkalispirochaeta alkalica DSM 8900,representative genome,PRJNA224116,SAMN02440429,AREC00000000.1,,latest,Scaffold,Major,2013-04-23,ASM37354v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/373/545/GCF_000373545.1_ASM37354v1,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Alkalispirochaeta,Alkalispirochaeta alkalica,DSM 8900,{},{},2440429,2018-03-28T14:09:26.247Z,2021-03-04T05:19:07.250Z,
0,1632,,GCF_000379025,GCF_000379025.1,1,GCA_000379025,GCA_000379025.1,926561,Orenia marismortui DSM 5156,representative genome,PRJNA224116,SAMN02261313,AQZS00000000.1,,latest,Scaffold,Major,2013-04-23,ASM37902v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/025/GCF_000379025.1_ASM37902v1,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,Orenia marismortui,DSM 5156,{},{},2261313,2018-03-28T14:09:26.247Z,2021-03-04T05:19:09.362Z,
0,1633,,GCF_000154525,GCF_000154525.1,1,GCA_000154525,GCA_000154525.1,449673,Bacteroides stercoris ATCC 43183,representative genome,PRJNA224116,SAMN00000004,ABFZ00000000.2,,latest,Scaffold,Major,2007-11-14,ASM15452v1,Washington University Genome Sequencing Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/525/GCF_000154525.1_ASM15452v1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,ATCC 43183,{},{},4,2018-03-28T14:09:26.247Z,2021-03-04T05:19:11.228Z,
0,1634,,GCF_000016905,GCF_000016905.1,1,GCA_000016905,GCA_000016905.1,391009,Thermosipho melanesiensis BI429,representative genome,PRJNA224116,SAMN00623068,,,latest,Complete Genome,Major,2007-06-26,ASM1690v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/905/GCF_000016905.1_ASM1690v1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,Thermosipho melanesiensis,BI429,{},{},623068,2018-03-28T14:09:26.247Z,2021-03-04T05:19:13.299Z,
0,1635,,GCF_002091755,GCF_002091755.1,1,GCA_002091755,GCA_002091755.1,1215112,Pseudomonas nitroreducens NBRC 12694,representative genome,PRJNA224116,SAMD00046934,BDAI00000000.1,,latest,Contig,Major,2017-04-03,ASM209175v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/091/755/GCF_002091755.1_ASM209175v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas nitroreducens,NBRC 12694,{},{},4491502,2018-03-28T14:09:26.248Z,2021-03-04T05:19:14.861Z,
0,1636,,GCF_900168365,GCF_900168365.1,1,GCA_900168365,GCA_900168365.1,1351755,Clostridium chauvoei JF4335,representative genome,PRJNA224116,SAMEA102059668,,JF4335,latest,Complete Genome,Major,2017-03-11,JF4335,SIB,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/168/365/GCF_900168365.1_JF4335,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium chauvoei,JF4335,{},{},6474699,2018-03-28T14:09:26.248Z,2021-03-04T05:19:16.634Z,
0,1637,,GCF_000743575,GCF_000743575.1,1,GCA_000743575,GCA_000743575.1,46914,Devosia riboflavina,representative genome,PRJNA224116,SAMN02983206,JQGC00000000.1,,latest,Contig,Major,2014-08-25,ASM74357v1,Agriculture and Agri-Food Canada,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/575/GCF_000743575.1_ASM74357v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia riboflavina,,{},{},2983206,2018-03-28T14:09:26.248Z,2021-03-04T05:19:18.764Z,
0,1638,,GCF_000172975,GCF_000172975.1,1,GCA_000172975,GCA_000172975.1,469381,Dethiosulfovibrio peptidovorans DSM 11002,representative genome,PRJNA224116,SAMN02441810,ABTR00000000.2,,latest,Contig,Major,2010-02-10,ASM17297v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/975/GCF_000172975.1_ASM17297v1,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,Dethiosulfovibrio peptidovorans,DSM 11002,{},{},2441810,2018-03-28T14:09:26.248Z,2021-03-04T05:19:20.931Z,
0,1639,,GCF_000429985,GCF_000429985.1,1,GCA_000429985,GCA_000429985.1,1121441,Desulfovibrio bastinii DSM 16055,representative genome,PRJNA224116,SAMN02440625,AUCX00000000.1,,latest,Scaffold,Major,2013-07-15,ASM42998v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/985/GCF_000429985.1_ASM42998v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio bastinii,DSM 16055,{},{},2440625,2018-03-28T14:09:26.248Z,2021-03-04T05:19:22.464Z,
0,1640,,GCF_900167125,GCF_900167125.1,1,GCA_900167125,GCA_900167125.1,1121449,Desulfovibrio gracilis DSM 16080,representative genome,PRJNA224116,SAMN02745704,FUYC00000000.1,,latest,Contig,Major,2017-03-04,IMG-taxon 2568526008 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/125/GCF_900167125.1_IMG-taxon_2568526008_annotated_assembly,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio gracilis,DSM 16080,{},{},2745704,2018-03-28T14:09:26.248Z,2021-03-04T05:19:23.726Z,
0,1641,,GCF_001866515,GCF_001866515.1,1,GCA_001866515,GCA_001866515.1,47229,Massilia timonae,representative genome,PRJNA224116,SAMN03072705,JRYB00000000.1,,latest,Contig,Major,2016-11-04,GFC_26,Los Alamos National Laboratory,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/866/515/GCF_001866515.1_GFC_26,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia timonae,,{},{},3072705,2018-03-28T14:09:26.248Z,2021-03-04T05:19:25.355Z,
0,1642,,GCF_000620945,GCF_000620945.1,1,GCA_000620945,GCA_000620945.1,1121344,[Clostridium] viride DSM 6836,representative genome,PRJNA224116,SAMN02743968,JHZO00000000.1,,latest,Scaffold,Major,2014-04-08,ASM62094v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/620/945/GCF_000620945.1_ASM62094v1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] viride,DSM 6836,{},{},2743968,2018-03-28T14:09:26.248Z,2021-03-04T05:19:26.980Z,
0,1643,,GCF_900103175,GCF_900103175.1,1,GCA_900103175,GCA_900103175.1,47312,Tsukamurella pulmonis,representative genome,PRJNA224116,SAMN04489765,FNLF00000000.1,,latest,Contig,Major,2016-10-21,IMG-taxon 2634166370 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/175/GCF_900103175.1_IMG-taxon_2634166370_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella pulmonis,,{},{},4489765,2018-03-28T14:09:26.248Z,2021-03-04T05:19:29.213Z,
0,1644,,GCF_001592285,GCF_001592285.1,1,GCA_001592285,GCA_001592285.1,1349792,Hydrogenophaga pseudoflava NBRC 102511,representative genome,PRJNA224116,SAMD00047221,BCWQ00000000.1,,latest,Contig,Major,2016-03-04,ASM159228v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/285/GCF_001592285.1_ASM159228v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga pseudoflava,NBRC 102511,{},{},4510844,2018-03-28T14:09:26.248Z,2021-03-04T05:19:31.955Z,
0,1645,,GCF_000445425,GCF_000445425.4,4,GCA_000445425,GCA_000445425.4,1302858,Borrelia miyamotoi LB-2001,representative genome,PRJNA224116,SAMN02604147,,,latest,Complete Genome,Major,2015-11-04,ASM44542v4,University of California Irvine,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/425/GCF_000445425.4_ASM44542v4,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia miyamotoi,LB-2001,{},{},2604147,2018-03-28T14:09:26.248Z,2021-03-04T05:19:34.162Z,
0,1646,,GCF_001435935,GCF_001435935.1,1,GCA_001435935,GCA_001435935.1,1423782,Lactobacillus panis DSM 6035,representative genome,PRJNA224116,SAMN02369492,AZGM00000000.1,,latest,Scaffold,Major,2015-11-06,ASM143593v1,Shanghai Majorbio,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/435/935/GCF_001435935.1_ASM143593v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus panis,DSM 6035,{},{},2369492,2018-03-28T14:09:26.248Z,2021-03-04T05:19:36.254Z,
0,1647,,GCF_001274715,GCF_001274715.1,1,GCA_001274715,GCA_001274715.1,47500,Aneurinibacillus migulanus,representative genome,PRJNA224116,SAMN03940008,LGUG00000000.1,,latest,Scaffold,Major,2015-08-26,ASM127471v1,Fujian Academy of Agricultural Sciences,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/274/715/GCF_001274715.1_ASM127471v1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus migulanus,,{},{},3940008,2018-03-28T14:09:26.248Z,2021-03-04T05:19:37.775Z,
0,1648,,GCF_000186425,GCF_000186425.1,1,GCA_000186425,GCA_000186425.1,887898,Lautropia mirabilis ATCC 51599,representative genome,PRJNA224116,SAMN00262616,AEQP00000000.1,,latest,Scaffold,Major,2011-01-26,ASM18642v1,Baylor College of Medicine,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/425/GCF_000186425.1_ASM18642v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis,ATCC 51599,{},{},262616,2018-03-28T14:09:26.248Z,2021-03-04T05:19:39.834Z,
0,1649,,GCF_002222615,GCF_002222615.2,2,GCA_002222615,GCA_002222615.2,47678,Bacteroides caccae,representative genome,PRJNA224116,SAMN07340701,,,latest,Complete Genome,Major,2017-08-30,ASM222261v2,University of North Carolina at Chapel Hill,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/615/GCF_002222615.2_ASM222261v2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,,{},{},7340701,2018-03-28T14:09:26.248Z,2021-03-04T05:19:41.919Z,
0,1650,,GCF_001941975,GCF_001941975.1,1,GCA_001941975,GCA_001941975.1,1337886,Sporomusa sphaeroides DSM 2875,representative genome,PRJNA224116,SAMN04455154,LSLJ00000000.1,,latest,Contig,Major,2017-01-10,ASM194197v1,Goettingen Genomics Laboratory,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/975/GCF_001941975.1_ASM194197v1,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Sporomusa sphaeroides,DSM 2875,{},{},4455154,2018-03-28T14:09:26.248Z,2021-03-04T05:19:44.036Z,
0,1651,,GCF_000178375,GCF_000178375.1,1,GCA_000178375,GCA_000178375.1,747682,Mycoplasma alligatoris A21JP2,representative genome,PRJNA224116,SAMN02436327,ADNC00000000.1,,latest,Contig,Major,2010-03-30,ASM17837v1,J. Craig Venter Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/375/GCF_000178375.1_ASM17837v1,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma alligatoris,A21JP2,{},{},2436327,2018-03-28T14:09:26.248Z,2021-03-04T05:19:45.756Z,
0,1652,,GCF_000026505,GCF_000026505.1,1,GCA_000026505,GCA_000026505.1,568703,Lactobacillus rhamnosus GG,representative genome,PRJNA224116,SAMEA2272375,,,latest,Complete Genome,Major,2009-09-02,ASM2650v1,"Institute of Biotechnology, University of Helsinki, Finland",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/505/GCF_000026505.1_ASM2650v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus rhamnosus,GG,{},{},12519766,2018-03-28T14:09:26.248Z,2021-03-04T05:19:46.952Z,
0,1653,,GCF_000721235,GCF_000721235.1,1,GCA_000721235,GCA_000721235.1,47716,Streptomyces olivaceus,representative genome,PRJNA224116,SAMN02645259,JOFH00000000.1,,latest,Contig,Major,2014-07-02,ASM72123v1,University of Illinois,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/235/GCF_000721235.1_ASM72123v1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces olivaceus,,{},{},2645259,2018-03-28T14:09:26.248Z,2021-03-04T05:19:48.319Z,
0,1654,,GCF_000347595,GCF_000347595.1,1,GCA_000347595,GCA_000347595.1,1171377,Bibersteinia trehalosi USDA-ARS-USMARC-192,representative genome,PRJNA224116,SAMN02048828,,,latest,Complete Genome,Major,2013-03-20,ASM34759v1,USDA-ARS-USMARC,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/347/595/GCF_000347595.1_ASM34759v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia,Bibersteinia trehalosi,USDA-ARS-USMARC-192,{},{},8284965,2018-03-28T14:09:26.248Z,2021-03-04T05:19:49.406Z,
0,1655,,GCF_000381025,GCF_000381025.1,1,GCA_000381025,GCA_000381025.1,1123321,Streptomyces sulphureus DSM 40104,representative genome,PRJNA224116,SAMN02440478,ARLC00000000.1,,latest,Scaffold,Major,2013-04-24,ASM38102v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/381/025/GCF_000381025.1_ASM38102v1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sulphureus,DSM 40104,{},{},2440478,2018-03-28T14:09:26.248Z,2021-03-04T05:19:51.459Z,
0,1656,,GCF_001418335,GCF_001418335.1,1,GCA_001418335,GCA_001418335.1,47760,Streptomyces aurantiacus,representative genome,PRJNA224116,SAMN04002962,LIPP00000000.1,,latest,Scaffold,Major,2015-10-28,ASM141833v1,USDA/ARS/NCAUR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/418/335/GCF_001418335.1_ASM141833v1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces aurantiacus,,{},{},4002962,2018-03-28T14:09:26.248Z,2021-03-04T05:19:52.872Z,
0,1657,,GCF_001729485,GCF_001729485.1,1,GCA_001729485,GCA_001729485.1,47763,Streptomyces lydicus,representative genome,PRJNA224116,SAMN05725998,,,latest,Complete Genome,Major,2016-09-16,ASM172948v1,Tianjin University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/485/GCF_001729485.1_ASM172948v1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lydicus,,{},{},5725998,2018-03-28T14:09:26.275Z,2021-03-04T05:19:53.923Z,
0,1658,,GCF_000091765,GCF_000091765.1,1,GCA_000091765,GCA_000091765.1,748671,Lactobacillus crispatus ST1,representative genome,PRJNA224116,SAMEA2272191,,,latest,Chromosome,Major,2010-04-22,ASM9176v1,"Institute of Biotechnology, University of Helsinki, Finland",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/765/GCF_000091765.1_ASM9176v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,ST1,{},{},2483872,2018-03-28T14:09:26.275Z,2021-03-04T05:19:56.298Z,
0,1659,,GCF_001274875,GCF_001274875.1,1,GCA_001274875,GCA_001274875.1,273035,Spiroplasma kunkelii CR2-3x,representative genome,PRJNA224116,SAMN03269975,,,latest,Complete Genome,Major,2015-08-26,ASM127487v1,Beltsville Agricultural Research Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/274/875/GCF_001274875.1_ASM127487v1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma kunkelii,CR2-3x,{},{},3269975,2018-03-28T14:09:26.275Z,2021-03-04T05:19:58.438Z,
0,1660,,GCF_000689255,GCF_000689255.1,1,GCA_000689255,GCA_000689255.1,47839,Mycobacterium triplex,representative genome,PRJNA224116,SAMEA3139001,CCAU000000000.1,,latest,Scaffold,Major,2014-04-28,BN973_1,URMITE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/255/GCF_000689255.1_BN973_1,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium triplex,,{},{},3216447,2018-03-28T14:09:26.276Z,2021-03-04T05:20:05.941Z,
0,1661,,GCF_900163655,GCF_900163655.1,1,GCA_900163655,GCA_900163655.1,47847,Brachybacterium nesterenkovii,representative genome,PRJNA224116,SAMEA80386918,FWFG00000000.1,,latest,Contig,Major,2017-04-29,ASM90016365v1,MICALIS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/163/655/GCF_900163655.1_ASM90016365v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium nesterenkovii,,{},{},6847599,2018-03-28T14:09:26.276Z,2021-03-04T05:20:06.916Z,
0,1662,,GCF_000145235,GCF_000145235.1,1,GCA_000145235,GCA_000145235.1,644283,Micromonospora aurantiaca ATCC 27029,representative genome,PRJNA224116,SAMN00006196,,,latest,Complete Genome,Major,2010-08-11,ASM14523v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/235/GCF_000145235.1_ASM14523v1,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora aurantiaca,ATCC 27029,{},{},6196,2018-03-28T14:09:26.276Z,2021-03-04T05:20:08.091Z,
0,1663,,GCF_900091535,GCF_900091535.1,1,GCA_900091535,GCA_900091535.1,47853,Micromonospora carbonacea,representative genome,PRJNA224116,SAMN04488106,FMCT00000000.1,,latest,Scaffold,Major,2016-08-16,IMG-taxon 2622736592 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/091/535/GCF_900091535.1_IMG-taxon_2622736592_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora carbonacea,,{},{},4488106,2018-03-28T14:09:26.276Z,2021-03-04T05:20:10.482Z,
0,1664,,GCF_900091475,GCF_900091475.1,1,GCA_900091475,GCA_900091475.1,47854,Micromonospora chersina,representative genome,PRJNA224116,SAMN04488485,FMIB00000000.1,,latest,Contig,Major,2016-08-25,IMG-taxon 2623620611 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/091/475/GCF_900091475.1_IMG-taxon_2623620611_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora chersina,,{},{},4488485,2018-03-28T14:09:26.276Z,2021-03-04T05:20:11.653Z,
0,1665,,GCF_900090285,GCF_900090285.1,1,GCA_900090285,GCA_900090285.1,47865,Micromonospora inositola,representative genome,PRJNA224116,SAMN04488340,,,latest,Chromosome,Major,2016-08-16,IMG-taxon 2623620396 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/285/GCF_900090285.1_IMG-taxon_2623620396_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora inositola,,{},{},4488340,2018-03-28T14:09:26.276Z,2021-03-04T05:20:13.843Z,
0,1666,,GCF_900091415,GCF_900091415.1,1,GCA_900091415,GCA_900091415.1,47866,Micromonospora inyonensis,representative genome,PRJNA224116,SAMN04489817,FMHU00000000.1,,latest,Contig,Major,2016-08-25,IMG-taxon 2636415978 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/091/415/GCF_900091415.1_IMG-taxon_2636415978_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora inyonensis,,{},{},4489817,2018-03-28T14:09:26.276Z,2021-03-04T05:20:14.889Z,
0,1667,,GCF_900091625,GCF_900091625.1,1,GCA_900091625,GCA_900091625.1,47871,Micromonospora peucetia,representative genome,PRJNA224116,SAMN04488357,FMIC00000000.1,,latest,Contig,Major,2016-08-25,IMG-taxon 2622736606 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/091/625/GCF_900091625.1_IMG-taxon_2622736606_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora peucetia,,{},{},4488357,2018-03-28T14:09:26.276Z,2021-03-04T05:20:16.081Z,
0,1668,,GCF_900091515,GCF_900091515.1,1,GCA_900091515,GCA_900091515.1,47872,Micromonospora purpureochromogenes,representative genome,PRJNA224116,SAMN04489819,,,latest,Chromosome,Major,2016-08-15,IMG-taxon 2627854289 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/091/515/GCF_900091515.1_IMG-taxon_2627854289_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora purpureochromogenes,,{},{},4489819,2018-03-28T14:09:26.276Z,2021-03-04T05:20:18.209Z,
0,1669,,GCF_001567585,GCF_001567585.1,1,GCA_001567585,GCA_001567585.1,47874,Micromonospora rosaria,representative genome,PRJNA224116,SAMN04440589,LRQV00000000.1,,latest,Contig,Major,2016-02-24,ASM156758v1,Jiangxi Normal University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/567/585/GCF_001567585.1_ASM156758v1,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora rosaria,,{},{},4440589,2018-03-28T14:09:26.276Z,2021-03-04T05:20:20.039Z,
